cognate_id	lect_id	segments	confidence
m1	alpha	p a t a	1.0
m1	beta	f a t a	1.0
m1	gamma	p a t a	1.0
m2	alpha	p a k a	1.0
m2	beta	f a k a	1.0
m2	gamma	p a k a	1.0
m3	alpha	p a n a	1.0
m3	beta	f a n a	1.0
m3	gamma	p a n a	1.0
m4	alpha	p a m a	1.0
m4	beta	f a m a	1.0
m4	gamma	p a m a	1.0
m5	alpha	p a s a	1.0
m5	beta	f a s a	1.0
m5	gamma	p a s a	1.0
m6	alpha	p i t i	1.0
m6	beta	p i t i	1.0
m6	gamma	p i t i	1.0
m7	alpha	p i k i	1.0
m7	beta	p i k i	1.0
m7	gamma	p i k i	1.0
m8	alpha	p i n i	1.0
m8	beta	p i n i	1.0
m8	gamma	p i n i	1.0
m9	alpha	p i m i	1.0
m9	beta	p i m i	1.0
m9	gamma	p i m i	1.0
m10	alpha	p i s i	1.0
m10	beta	p i s i	1.0
m10	gamma	p i s i	1.0
