cognate_id	lect_id	segments	tone	confidence
x000	aa_conditioner	b a	- -	1.0
x000	zz_bearer	p a	- 4	1.0
x001	aa_conditioner	p a	- -	1.0
x001	zz_bearer	p a	- 1	1.0
x002	aa_conditioner	d a	- -	1.0
x002	zz_bearer	t a	- 4	1.0
x003	aa_conditioner	t a	- -	1.0
x003	zz_bearer	t a	- 1	1.0
x004	aa_conditioner	g a	- -	1.0
x004	zz_bearer	k a	- 4	1.0
x005	aa_conditioner	k a	- -	1.0
x005	zz_bearer	k a	- 1	1.0
x006	aa_conditioner	b i	- -	1.0
x006	zz_bearer	p i	- 4	1.0
x007	aa_conditioner	p i	- -	1.0
x007	zz_bearer	p i	- 1	1.0
x008	aa_conditioner	d i	- -	1.0
x008	zz_bearer	t i	- 4	1.0
x009	aa_conditioner	t i	- -	1.0
x009	zz_bearer	t i	- 1	1.0
x010	aa_conditioner	g i	- -	1.0
x010	zz_bearer	k i	- 4	1.0
x011	aa_conditioner	k i	- -	1.0
x011	zz_bearer	k i	- 1	1.0
x012	aa_conditioner	b u	- -	1.0
x012	zz_bearer	p u	- 4	1.0
x013	aa_conditioner	p u	- -	1.0
x013	zz_bearer	p u	- 1	1.0
x014	aa_conditioner	d u	- -	1.0
x014	zz_bearer	t u	- 4	1.0
x015	aa_conditioner	t u	- -	1.0
x015	zz_bearer	t u	- 1	1.0
x016	aa_conditioner	g u	- -	1.0
x016	zz_bearer	k u	- 4	1.0
x017	aa_conditioner	k u	- -	1.0
x017	zz_bearer	k u	- 1	1.0
x018	aa_conditioner	b a	- -	1.0
x018	zz_bearer	p a	- 4	1.0
x019	aa_conditioner	p a	- -	1.0
x019	zz_bearer	p a	- 1	1.0
x020	aa_conditioner	d a	- -	1.0
x020	zz_bearer	t a	- 4	1.0
x021	aa_conditioner	t a	- -	1.0
x021	zz_bearer	t a	- 1	1.0
x022	aa_conditioner	g a	- -	1.0
x022	zz_bearer	k a	- 4	1.0
x023	aa_conditioner	k a	- -	1.0
x023	zz_bearer	k a	- 1	1.0
x024	aa_conditioner	b i	- -	1.0
x024	zz_bearer	p i	- 4	1.0
x025	aa_conditioner	p i	- -	1.0
x025	zz_bearer	p i	- 1	1.0
x026	aa_conditioner	d i	- -	1.0
x026	zz_bearer	t i	- 4	1.0
x027	aa_conditioner	t i	- -	1.0
x027	zz_bearer	t i	- 1	1.0
x028	aa_conditioner	g i	- -	1.0
x028	zz_bearer	k i	- 4	1.0
x029	aa_conditioner	k i	- -	1.0
x029	zz_bearer	k i	- 1	1.0
x030	aa_conditioner	b u	- -	1.0
x030	zz_bearer	p u	- 4	1.0
x031	aa_conditioner	p u	- -	1.0
x031	zz_bearer	p u	- 1	1.0
x032	aa_conditioner	d u	- -	1.0
x032	zz_bearer	t u	- 4	1.0
x033	aa_conditioner	t u	- -	1.0
x033	zz_bearer	t u	- 1	1.0
x034	aa_conditioner	g u	- -	1.0
x034	zz_bearer	k u	- 4	1.0
x035	aa_conditioner	k u	- -	1.0
x035	zz_bearer	k u	- 1	1.0
