cognate_id	lect_id	segments
w000	proto	n e m i
w000	daughter	n e m i
w001	proto	s i p u
w001	daughter	h i f u
w002	proto	m i p i
w002	daughter	m i f i
w003	proto	s u m a
w003	daughter	h u m a
w004	proto	m a m i
w004	daughter	m a m i
w005	proto	l u n o
w005	daughter	r u n o
w006	proto	s u s i
w006	daughter	h u h i
w007	proto	s i t i
w007	daughter	h i θ i
w008	proto	k u n u
w008	daughter	x u n u
w009	proto	t u k u
w009	daughter	θ u x u
w010	proto	t i m a
w010	daughter	θ i m a
w011	proto	t o s e
w011	daughter	θ o h e
w012	proto	m a p o
w012	daughter	m a f o
w013	proto	p o s e
w013	daughter	f o h e
w014	proto	p a s e
w014	daughter	f a h e
w015	proto	s e m e
w015	daughter	h e m e
w016	proto	k u s e
w016	daughter	x u h e
w017	proto	s a p i
w017	daughter	h a f i
w018	proto	m a t e
w018	daughter	m a θ e
w019	proto	s e k o
w019	daughter	h e x o
w020	proto	t e m i
w020	daughter	θ e m i
w021	proto	n i k o
w021	daughter	n i x o
w022	proto	t a l i
w022	daughter	θ a r i
w023	proto	s u n u
w023	daughter	h u n u
w024	proto	s a l u
w024	daughter	h a r u
w025	proto	p o l i
w025	daughter	f o r i
w026	proto	k a p i
w026	daughter	x a f i
w027	proto	m o s e
w027	daughter	m o h e
w028	proto	m o n u
w028	daughter	m o n u
w029	proto	k i t a
w029	daughter	x i θ a
w030	proto	t e m o
w030	daughter	θ e m o
w031	proto	m e s i
w031	daughter	m e h i
w032	proto	m i k i
w032	daughter	m i x i
w033	proto	l i k e
w033	daughter	r i x e
w034	proto	l i p o
w034	daughter	r i f o
w035	proto	m e l o
w035	daughter	m e r o
w036	proto	k u k o
w036	daughter	x u x o
w037	proto	t e l u
w037	daughter	θ e r u
w038	proto	n i n a
w038	daughter	n i n a
w039	proto	s i p i
w039	daughter	h i f i
bad0	proto	k u m o
bad0	daughter	h u m i
bad1	proto	n e m o
bad1	daughter	r e m u
bad2	proto	p e s o
bad2	daughter	h e f e
bad3	proto	t o p a
bad3	daughter	h e r u
bad4	proto	p u k e
bad4	daughter	θ i θ o
