cognate_id	lect_id	segments
h000	a	k a m u
h000	d	q a o u
h000	e	q a m u
h001	a	k y r e
h001	b	k y r e
h001	c	k y r e
h001	d	k y r e
h001	e	k y p e
h002	a	k u l a
h002	b	q u l a
h002	c	q u l a
h002	d	q u l a
h002	e	q u l a
h003	a	k y p b
h003	b	k y p y
h003	c	k y p y
h003	e	k y e y
h004	a	k o s a
h004	b	q o s a
h004	d	q o s a
h005	a	k y s e
h005	b	n y s e
h005	c	k y s e
h005	d	k y u e
h005	e	k y s e
h006	a	k u m a
h006	b	q u m a
h006	d	q u m a
h006	e	q u m a
h007	a	k y i i
h007	b	k y l i
h007	c	k b r i
h007	e	k y r i
h008	a	k o t u
h008	b	q o t u
h008	c	q o t u
h008	d	q o t u
h008	e	q o t u
h009	a	k y m y
h009	b	k y m y
h009	c	k y m y
h009	d	k y m y
h009	e	k y m y
h010	a	k a t u
h010	b	e a t u
h010	c	q a t u
h010	d	q a t u
h010	e	q a t u
h011	a	k e l y
h011	d	k e l y
h011	e	k e l y
h012	a	k o m o
h012	b	q o m o
h012	c	q o m o
h012	d	q m m o
h012	e	q o m o
h013	a	k i l e
h013	b	k i l e
h013	c	k i l e
h013	d	k i l a
h013	e	k i l e
h014	a	k u l a
h014	b	t u l a
h014	c	q o l a
h014	d	q u l a
h014	e	q u l a
h015	a	k e t i
h015	b	k e p i
h015	e	k e t i
h016	a	k u p o
h016	b	q u p o
h016	c	n u p o
h016	d	q u p o
h016	e	q u m o
h017	a	k e n e
h017	b	k e n e
h017	d	t e n e
h017	e	k e n e
h018	a	k u t a
h018	b	q u t a
h018	c	q u e a
h018	d	q u t a
h018	e	q u t a
h019	a	k i r i
h019	c	k i r t
h019	d	k i r i
h020	a	k r n o
h020	b	q s n o
h020	c	q a n o
h020	d	q a n o
h020	e	q a n o
h021	a	k y p i
h021	b	k y p i
h021	c	k y p i
h021	d	y y p i
h021	e	k y p i
h022	a	m a n u
h022	d	q a n u
h022	e	q a r u
h023	a	k i s e
h023	c	k i s e
h023	d	k i s e
h023	e	k i e e
h024	a	k o t a
h024	b	q o t a
h024	c	q o t a
h024	d	q o t a
h025	a	k y l e
h025	b	k y l e
h025	c	a y l e
h025	d	k y l e
h025	e	k m l e
h026	a	k o p a
h026	b	q o p t
h026	d	q o p a
h026	e	q o p a
h027	a	k y l e
h027	d	p y l t
h027	e	p y l e
h028	a	k o l a
h028	b	q o l a
h028	c	q o l a
h028	d	q o l a
h028	e	q o l a
h029	a	k e t y
h029	c	k e t y
h029	d	k e t y
h029	e	k e t y
h030	a	k u t a
h030	c	q u t a
h030	d	q u t a
h030	e	q u t a
h031	a	k e l e
h031	b	k e l e
h031	d	k e l e
h032	a	a u s a
h032	b	q u s a
