cognate_id	lect_id	segments
honour	latin	h o n o r i s
honour	old_latin	h o n o s i s
genus	latin	g e n e r i s
genus	old_latin	g e n e s i s
time	latin	t e m p o r i s
time	old_latin	t e m p o s i s
body	latin	k o r p o r i s
body	old_latin	k o r p o s i s
flower	latin	f l o r i s
flower	old_latin	f l o s i s
ash	latin	k i n e r i s
ash	old_latin	k i n i s i s
law	latin	l e g e r i s
law	old_latin	l e g e s i s
seed	latin	s e m e r i s
seed	old_latin	s e m e s i s
dust	latin	p u l w e r i s
dust	old_latin	p u l w e s i s
i_was	latin	e r a m
i_was	old_latin	e s a m
to_be	latin	e r e
to_be	old_latin	e s e
more	latin	m a y o r e m
more	old_latin	m a y o s e m
choose	latin	g e r o
choose	old_latin	g e s o
nose	latin	n a r u s
nose	old_latin	n a s u s
six	latin	s e k s
six	old_latin	s e k s
salt	latin	s a l
salt	old_latin	s a l
sit	latin	s e d e o
sit	old_latin	s e d e o
sun	latin	s o l
sun	old_latin	s o l
seven	latin	s e p t e m
seven	old_latin	s e p t e m
wolf	latin	l u p u s
wolf	old_latin	l u p u s
field	latin	k a m p u s
field	old_latin	k a m p u s
god	latin	d e u s
god	old_latin	d e u s
mouth	latin	o s
mouth	old_latin	o s
camp	latin	k a s t r a
camp	old_latin	k a s t r a
evening	latin	w e s p e r
evening	old_latin	w e s p e r
witness	latin	t e s t i s
witness	old_latin	t e s t i s
mix	latin	m i s k e o
mix	old_latin	m i s k e o
just	latin	y u s t u s
just	old_latin	y u s t u s
rough	latin	a s p e r
rough	old_latin	a s p e r
master	latin	m a g i s t e r
master	old_latin	m a g i s t e r
hospital	latin	h o s p e s
hospital	old_latin	h o s p e s
