cognate_id	lect_id	segments
w00	proto	k a p e t a l e
w00	daughter	k a p e t a l e
w01	proto	k a p i t a s e m o
w01	daughter	k a f i t a s e m o
w02	proto	k a p o l a
w02	daughter	k a p o l a
w03	proto	k a p u t a m e
w03	daughter	k a f u t a m e
w04	proto	k e p a t a l e
w04	daughter	k e p a t a l e
w05	proto	k e p i l a
w05	daughter	k e p i l a
w06	proto	k e p o t a m e
w06	daughter	k e f o t a m e
w07	proto	k e p u t a s e l o
w07	daughter	k e p u t a s e l o
w08	proto	k i p a t a s e m o
w08	daughter	k i f a t a s e m o
w09	proto	k i p e l a
w09	daughter	k i p e l a
w10	proto	k i p o t a s e l o
w10	daughter	k i p o t a s e l o
w11	proto	k i p u m a
w11	daughter	k i f u m a
w12	proto	k o p a l a
w12	daughter	k o p a l a
w13	proto	k o p e t a m e
w13	daughter	k o f e t a m e
w14	proto	k o p i t a s e l o
w14	daughter	k o p i t a s e l o
w15	proto	k o p u t a l e
w15	daughter	k o p u t a l e
w16	proto	k u p a t a m e
w16	daughter	k u f a t a m e
w17	proto	k u p e t a s e l o
w17	daughter	k u p e t a s e l o
w18	proto	k u p i m a
w18	daughter	k u f i m a
w19	proto	k u p o t a l e
w19	daughter	k u p o t a l e
w20	proto	t a p e t a l e
w20	daughter	t a p e t a l e
w21	proto	t a p i t a s e m o
w21	daughter	t a f i t a s e m o
w22	proto	t a p o l a
w22	daughter	t a p o l a
w23	proto	t a p u t a m e
w23	daughter	t a f u t a m e
w24	proto	t e p a t a l e
w24	daughter	t e p a t a l e
w25	proto	t e p i l a
w25	daughter	t e p i l a
w26	proto	t e p o t a m e
w26	daughter	t e f o t a m e
w27	proto	t e p u t a s e l o
w27	daughter	t e p u t a s e l o
w28	proto	t i p a t a s e m o
w28	daughter	t i f a t a s e m o
w29	proto	t i p e l a
w29	daughter	t i p e l a
w30	proto	t i p o t a s e l o
w30	daughter	t i p o t a s e l o
w31	proto	t i p u m a
w31	daughter	t i f u m a
w32	proto	t o p a l a
w32	daughter	t o p a l a
w33	proto	t o p e t a m e
w33	daughter	t o f e t a m e
w34	proto	t o p i t a s e l o
w34	daughter	t o p i t a s e l o
w35	proto	t o p u t a l e
w35	daughter	t o p u t a l e
w36	proto	t u p a t a m e
w36	daughter	t u f a t a m e
w37	proto	t u p e t a s e l o
w37	daughter	t u p e t a s e l o
w38	proto	t u p i m a
w38	daughter	t u f i m a
w39	proto	t u p o t a l e
w39	daughter	t u p o t a l e
