cognate_id	lect_id	segments	confidence	etymon_group	source_group
w000	ancestor	k p i	1	history-000	synthetic-m2
w000	innovator	k f i	1	history-000	synthetic-m2
w001	ancestor	k p i	1	history-001	synthetic-m2
w001	innovator	k f i	1	history-001	synthetic-m2
w002	ancestor	k p i	1	history-002	synthetic-m2
w002	innovator	k f i	1	history-002	synthetic-m2
w003	ancestor	k p i	1	history-003	synthetic-m2
w003	innovator	k f i	1	history-003	synthetic-m2
w004	ancestor	k p a	1	history-004	synthetic-m2
w004	innovator	k p a	1	history-004	synthetic-m2
w005	ancestor	k p a	1	history-005	synthetic-m2
w005	innovator	k p a	1	history-005	synthetic-m2
w006	ancestor	k p a	1	history-006	synthetic-m2
w006	innovator	k p a	1	history-006	synthetic-m2
w007	ancestor	k p a	1	history-007	synthetic-m2
w007	innovator	k p a	1	history-007	synthetic-m2
