cognate_id	lect_id	segments	etymon_group
m01_1	A	a p a	m01
m01_1	B	a f a	m01
m01_1	C	a f a	m01
m01_2	A	i p i	m01
m01_2	B	i f i	m01
m01_2	C	i f i	m01
m02_1	A	a p a	m02
m02_1	B	a f a	m02
m02_1	C	a f a	m02
m02_2	A	i p i	m02
m02_2	B	i f i	m02
m02_2	C	i f i	m02
m03_1	A	a p a	m03
m03_1	B	a f a	m03
m03_1	C	a f a	m03
m03_2	A	i p i	m03
m03_2	B	i f i	m03
m03_2	C	i f i	m03
m04_1	A	a p a	m04
m04_1	B	a f a	m04
m04_1	C	a f a	m04
m04_2	A	i p i	m04
m04_2	B	i f i	m04
m04_2	C	i f i	m04
m05_1	A	a p a	m05
m05_1	B	a f a	m05
m05_1	C	a f a	m05
m05_2	A	i p i	m05
m05_2	B	i f i	m05
m05_2	C	i f i	m05
m06_1	A	a p a	m06
m06_1	B	a f a	m06
m06_1	C	a f a	m06
m06_2	A	i p i	m06
m06_2	B	i f i	m06
m06_2	C	i f i	m06
m07_1	A	a p a	m07
m07_1	B	a f a	m07
m07_1	C	a f a	m07
m07_2	A	i p i	m07
m07_2	B	i f i	m07
m07_2	C	i f i	m07
m08_1	A	a p a	m08
m08_1	B	a f a	m08
m08_1	C	a f a	m08
m08_2	A	i p i	m08
m08_2	B	i f i	m08
m08_2	C	i f i	m08
m09_1	A	a p a	m09
m09_1	B	a f a	m09
m09_1	C	a f a	m09
m09_2	A	i p i	m09
m09_2	B	i f i	m09
m09_2	C	i f i	m09
m10_1	A	s p a	m10
m10_1	B	s p a	m10
m10_1	C	s p a	m10
m10_2	A	t p a	m10
m10_2	B	t p a	m10
m10_2	C	t p a	m10
m11_1	A	s p a	m11
m11_1	B	s p a	m11
m11_1	C	s p a	m11
m11_2	A	t p a	m11
m11_2	B	t p a	m11
m11_2	C	t p a	m11
m12_1	A	s p a	m12
m12_1	B	s p a	m12
m12_1	C	s p a	m12
m12_2	A	t p a	m12
m12_2	B	t p a	m12
m12_2	C	t p a	m12
m13_1	A	s p a	m13
m13_1	B	s p a	m13
m13_1	C	s p a	m13
m13_2	A	t p a	m13
m13_2	B	t p a	m13
m13_2	C	t p a	m13
m14_1	A	s p a	m14
m14_1	B	s p a	m14
m14_1	C	s p a	m14
m14_2	A	t p a	m14
m14_2	B	t p a	m14
m14_2	C	t p a	m14
m15_1	A	s p a	m15
m15_1	B	s p a	m15
m15_1	C	s p a	m15
m15_2	A	t p a	m15
m15_2	B	t p a	m15
m15_2	C	t p a	m15
m16_1	A	s p a	m16
m16_1	B	s p a	m16
m16_1	C	s p a	m16
m16_2	A	t p a	m16
m16_2	B	t p a	m16
m16_2	C	t p a	m16
m17_1	A	s p a	m17
m17_1	B	s p a	m17
m17_1	C	s p a	m17
m17_2	A	t p a	m17
m17_2	B	t p a	m17
m17_2	C	t p a	m17
m18_1	A	s p a	m18
m18_1	B	s p a	m18
m18_1	C	s p a	m18
m18_2	A	t p a	m18
m18_2	B	t p a	m18
m18_2	C	t p a	m18
