cognate_id	lect_id	segments	tone	confidence
m000	aa_one	p a t i	- - - -	1.0
m000	mm_two	p a s i	- - - -	1.0
m000	zz_three	p a t e	- - - -	1.0
m001	aa_one	m a t a	- - - -	1.0
m001	mm_two	m a t a	- - - -	1.0
m001	zz_three	m a t a	- - - -	1.0
m002	aa_one	k a t i	- - - -	1.0
m002	mm_two	k a s i	- - - -	1.0
m002	zz_three	k a t e	- - - -	1.0
m003	aa_one	p a t a	- - - -	1.0
m003	mm_two	p a t a	- - - -	1.0
m003	zz_three	p a t a	- - - -	1.0
m004	aa_one	m a t i	- - - -	1.0
m004	mm_two	m a s i	- - - -	1.0
m004	zz_three	m a t e	- - - -	1.0
m005	aa_one	k a t a	- - - -	1.0
m005	mm_two	k a t a	- - - -	1.0
m005	zz_three	k a t a	- - - -	1.0
m006	aa_one	p a t i	- - - -	1.0
m006	mm_two	p a s i	- - - -	1.0
m006	zz_three	p a t e	- - - -	1.0
m007	aa_one	m a t a	- - - -	1.0
m007	mm_two	m a t a	- - - -	1.0
m007	zz_three	m a t a	- - - -	1.0
m008	aa_one	k a t i	- - - -	1.0
m008	mm_two	k a s i	- - - -	1.0
m008	zz_three	k a t e	- - - -	1.0
m009	aa_one	p a t a	- - - -	1.0
m009	mm_two	p a t a	- - - -	1.0
m009	zz_three	p a t a	- - - -	1.0
m010	aa_one	m a t i	- - - -	1.0
m010	mm_two	m a s i	- - - -	1.0
m010	zz_three	m a t e	- - - -	1.0
m011	aa_one	k a t a	- - - -	1.0
m011	mm_two	k a t a	- - - -	1.0
m011	zz_three	k a t a	- - - -	1.0
m012	aa_one	p a t i	- - - -	1.0
m012	mm_two	p a s i	- - - -	1.0
m012	zz_three	p a t e	- - - -	1.0
m013	aa_one	m a t a	- - - -	1.0
m013	mm_two	m a t a	- - - -	1.0
m013	zz_three	m a t a	- - - -	1.0
m014	aa_one	k a t i	- - - -	1.0
m014	mm_two	k a s i	- - - -	1.0
m014	zz_three	k a t e	- - - -	1.0
m015	aa_one	p a t a	- - - -	1.0
m015	mm_two	p a t a	- - - -	1.0
m015	zz_three	p a t a	- - - -	1.0
m016	aa_one	m a t i	- - - -	1.0
m016	mm_two	m a s i	- - - -	1.0
m016	zz_three	m a t e	- - - -	1.0
m017	aa_one	k a t a	- - - -	1.0
m017	mm_two	k a t a	- - - -	1.0
m017	zz_three	k a t a	- - - -	1.0
m018	aa_one	p a t i	- - - -	1.0
m018	mm_two	p a s i	- - - -	1.0
m018	zz_three	p a t e	- - - -	1.0
m019	aa_one	m a t a	- - - -	1.0
m019	mm_two	m a t a	- - - -	1.0
m019	zz_three	m a t a	- - - -	1.0
